Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,219.5,223.0,219.0,222.5,157.31967163085938,4608951
2020-01-03,224.0,224.0,214.0,215.5,152.37030029296875,10225777
2020-01-06,212.0,213.5,210.0,211.0,149.1885528564453,8175366
2020-01-07,218.5,219.5,215.0,218.0,154.13792419433594,9373352
2020-01-08,216.0,223.5,213.0,220.5,155.9055633544922,8539370
2020-01-09,225.0,229.0,224.5,227.5,160.85494995117188,9817365
2020-01-10,228.0,229.5,224.0,227.5,160.85494995117188,4557016
2020-01-13,230.0,233.5,227.5,232.5,164.3902130126953,8892521
2020-01-14,234.0,237.0,228.0,232.0,164.0366973876953,8004937
2020-01-15,233.0,233.5,225.5,227.5,160.85494995117188,7249683
2020-01-16,225.5,230.0,224.0,230.0,162.62258911132812,7396864
2020-01-17,230.0,230.5,227.0,228.5,161.56199645996094,3308363
2020-01-20,229.0,230.5,228.0,230.5,162.97610473632812,2685418
2020-01-30,227.0,227.0,214.0,214.5,151.6632537841797,9988747
2020-01-31,215.0,219.5,213.5,218.0,154.13792419433594,5526956
2020-02-03,212.0,216.5,203.0,213.0,150.6026611328125,6910796
2020-02-04,231.0,231.0,218.0,218.0,154.13792419433594,3696161
2020-02-05,220.0,220.0,211.5,212.0,149.89559936523438,5499307
2020-02-06,214.5,219.0,214.0,218.5,154.49143981933594,4839008
2020-02-07,217.5,218.0,213.5,214.0,151.30970764160156,5360672
2020-02-10,210.0,212.5,208.0,208.5,147.4208984375,6107422
2020-02-11,211.0,217.5,210.5,216.5,153.0773468017578,5299318
2020-02-12,219.0,223.0,218.0,220.5,155.9055633544922,9727023
2020-02-13,219.5,222.0,219.0,220.5,155.9055633544922,3965677
2020-02-14,219.0,220.0,217.0,219.5,155.19850158691406,5694019
2020-02-17,218.0,219.0,216.0,216.5,153.0773468017578,3009421
2020-02-18,215.5,216.0,211.0,212.0,149.89559936523438,4236327
2020-02-19,211.5,213.5,210.5,213.0,150.6026611328125,3635867
2020-02-20,211.5,212.0,207.5,208.5,147.4208984375,8945266
2020-02-21,205.5,206.5,202.0,205.0,144.9462127685547,10336669
2020-02-24,200.0,204.0,200.0,203.5,143.8856201171875,4412799
2020-02-25,201.0,205.5,200.0,203.5,143.8856201171875,3222617
2020-02-26,200.5,204.5,200.0,203.5,143.8856201171875,5074633
2020-02-27,202.0,204.5,195.5,195.5,138.2292022705078,8020851
2020-03-02,191.0,201.5,189.0,197.5,139.643310546875,6633352
2020-03-03,202.0,204.5,201.5,201.5,142.4715118408203,3685972
2020-03-04,200.0,203.5,198.5,203.5,143.8856201171875,4153697
2020-03-05,205.0,206.0,204.0,204.5,144.5926971435547,3938769
2020-03-06,204.0,205.5,203.0,203.5,143.8856201171875,3910770
2020-03-09,199.0,202.0,195.0,195.0,137.8756561279297,5129251
2020-03-10,193.0,199.0,191.5,194.0,137.16860961914062,6242723
2020-03-11,196.0,199.0,192.5,193.0,136.46156311035156,3548941
2020-03-12,191.0,191.0,179.5,185.5,131.15866088867188,8710563
2020-03-13,168.0,185.0,168.0,178.5,126.20925903320312,8983157
2020-03-16,180.0,183.0,171.5,171.5,121.25987243652344,5326445
2020-03-17,168.0,178.5,168.0,170.0,120.19930267333984,7106128
2020-03-18,171.0,173.5,168.0,168.5,119.13872528076172,5443470
2020-03-19,163.0,164.5,152.0,152.0,107.47232818603516,11182671
2020-03-20,154.5,164.0,145.5,152.0,107.47232818603516,14674590
2020-03-23,152.0,157.0,143.0,153.5,108.53290557861328,7724182
2020-03-24,158.5,168.0,158.0,161.5,114.1893310546875,9003773
2020-03-25,166.5,171.5,165.0,169.0,119.49225616455078,7656911
2020-03-26,173.0,173.0,167.0,171.0,120.90635681152344,5429897
2020-03-27,173.5,175.5,171.0,172.0,121.61341857910156,6026545
2020-03-30,168.5,174.0,166.0,173.5,122.67399597167969,3369429
2020-03-31,176.0,176.0,170.5,172.0,121.61341857910156,4838529
2020-04-01,175.0,176.0,172.0,175.0,123.73456573486328,3716545
2020-04-06,175.0,185.0,174.5,185.0,130.80511474609375,5571263
2020-04-07,191.0,192.0,184.0,184.0,130.0980682373047,5574845
2020-04-08,186.0,190.5,184.0,184.5,130.45159912109375,5963682
2020-04-09,187.0,189.0,185.0,187.0,132.21922302246094,5519505
2020-04-10,187.0,188.0,184.5,185.0,130.80511474609375,2622184
2020-04-13,184.0,185.0,180.5,181.0,127.97691345214844,4008375
2020-04-14,182.5,186.5,181.5,185.5,131.15866088867188,4595688
2020-04-15,187.0,188.0,184.0,186.0,131.51217651367188,5465536
2020-04-16,183.0,185.5,182.0,183.0,129.39102172851562,4630162
2020-04-17,186.0,187.5,182.5,185.0,130.80511474609375,6895128
2020-04-20,183.5,184.5,182.0,183.0,129.39102172851562,2832500
2020-04-21,182.5,183.5,178.0,179.0,126.56280517578125,4673199
2020-04-22,174.5,177.5,172.5,177.0,125.148681640625,5564067
2020-04-23,178.0,182.0,176.5,178.5,126.20925903320312,4350155
2020-04-24,177.5,179.0,175.5,176.0,124.4416275024414,3701576
2020-04-27,177.5,179.0,176.0,178.0,125.85572814941406,6797938
2020-04-28,178.0,179.5,174.0,179.5,126.91630554199219,6440741
2020-04-29,177.5,186.5,177.5,183.5,129.7445526123047,8440877
2020-04-30,183.5,187.5,183.0,186.5,131.86570739746094,5939812
2020-05-04,181.0,189.0,179.0,187.0,132.21922302246094,6160613
2020-05-05,187.5,191.5,186.0,189.0,133.6333465576172,6408390
2020-05-06,190.0,199.0,187.5,195.5,138.2292022705078,10115421
2020-05-07,205.0,208.0,200.0,200.0,141.41094970703125,13811438
2020-05-08,203.0,207.0,203.0,203.5,143.8856201171875,5801500
2020-05-11,207.0,207.0,203.5,204.0,144.23915100097656,2677779
2020-05-12,204.5,208.5,203.0,204.0,144.23915100097656,4942307
2020-05-13,204.0,211.0,203.5,210.0,148.4814910888672,7531121
2020-05-14,209.5,210.0,203.0,203.5,143.8856201171875,7088235
2020-05-15,204.5,206.0,201.0,204.0,144.23915100097656,2617288
2020-05-18,199.0,203.5,194.0,195.0,137.8756561279297,10855830
2020-05-19,198.0,200.0,196.0,197.0,139.28977966308594,6187817
2020-05-20,197.0,200.5,195.0,198.0,139.996826171875,4504553
2020-05-21,198.0,203.5,198.0,203.5,143.8856201171875,5371661
2020-05-22,200.0,200.5,197.0,198.5,140.35035705566406,3760891
2020-05-25,200.0,203.0,195.5,202.5,143.17857360839844,2526362
2020-05-26,204.0,209.5,203.0,208.0,147.06736755371094,6052700
2020-05-27,210.0,210.5,207.0,207.0,146.36032104492188,3522724
2020-05-28,209.0,209.0,205.0,208.0,147.06736755371094,3002959
2020-05-29,204.0,209.5,204.0,205.0,144.9462127685547,3854446
2020-06-01,210.0,214.5,208.0,208.5,147.4208984375,4410095
2020-06-02,210.0,212.0,209.0,210.5,148.8350067138672,3109009
2020-06-03,213.5,215.5,212.0,213.0,150.6026611328125,4318043
2020-06-04,215.0,216.0,213.0,216.0,152.72381591796875,3985054
2020-06-05,216.0,217.0,213.0,215.0,152.01675415039062,3306234
2020-06-08,217.0,217.5,215.5,217.5,153.78440856933594,3667453
2020-06-09,217.5,218.0,215.5,217.0,153.4308624267578,1994762
2020-06-10,215.0,216.5,213.5,214.0,151.30970764160156,4120050
2020-06-11,215.0,218.0,213.0,213.5,150.9561767578125,2865484
2020-06-12,208.5,214.0,206.0,213.5,150.9561767578125,2984217
2020-06-15,213.5,215.0,210.5,211.0,149.1885528564453,2561016
2020-06-16,215.5,215.5,213.0,215.0,152.01675415039062,1668698
2020-06-17,215.0,216.0,212.0,214.0,151.30970764160156,4288411
2020-06-18,213.0,216.0,212.5,215.5,152.37030029296875,3699424
2020-06-19,217.0,226.0,216.5,222.0,156.96615600585938,10815712
2020-06-22,223.0,231.5,223.0,224.0,158.3802490234375,7635629
2020-06-23,227.0,230.0,223.0,228.0,161.20848083496094,5382899
2020-06-24,231.0,231.5,227.5,228.0,161.20848083496094,4193835
2020-06-29,227.0,232.0,225.5,227.5,160.85494995117188,4187629
2020-06-30,232.0,234.0,228.0,228.0,161.20848083496094,4294834
2020-07-01,229.5,236.0,229.0,234.5,165.8043212890625,5511068
2020-07-02,237.5,238.0,232.0,237.0,167.57196044921875,3669720
2020-07-03,240.5,260.5,238.5,260.5,184.187744140625,13001698
2020-07-06,266.0,282.0,265.0,281.5,199.035888671875,13321764
2020-07-07,278.0,280.0,259.0,265.0,187.3695068359375,15010085
2020-07-08,264.0,271.5,263.0,268.0,189.49066162109375,7942844
2020-07-09,290.0,291.0,280.5,284.5,201.15707397460938,13755108
2020-07-10,289.0,295.0,281.0,285.5,201.86412048339844,8410732
2020-07-13,279.0,281.0,270.0,271.5,199.29493713378906,9054734
2020-07-14,270.0,276.0,265.0,267.0,195.99169921875,5823169
2020-07-15,270.0,275.0,261.0,262.5,192.6884765625,6579842
2020-07-16,263.0,270.0,262.0,263.5,193.4225311279297,5029014
2020-07-17,264.0,267.0,260.5,262.0,192.32144165039062,3179331
2020-07-20,261.5,265.0,257.5,260.0,190.8533477783203,3701026
2020-07-21,262.5,266.0,261.0,265.5,194.890625,5617545
2020-07-22,268.5,280.0,268.5,279.5,205.16734313964844,11211903
2020-07-23,278.5,281.5,275.5,281.5,206.63543701171875,7132514
2020-07-24,279.5,281.5,269.5,271.5,199.29493713378906,6244836
2020-07-27,272.5,278.0,272.0,277.0,203.3322296142578,4224380
2020-07-28,279.5,286.0,269.0,269.5,197.8268280029297,9233120
2020-07-29,270.5,280.0,270.5,277.5,203.69923400878906,5268303
2020-07-30,280.5,281.5,276.0,279.5,205.16734313964844,3469288
2020-07-31,282.0,304.0,282.0,290.0,212.87489318847656,19468700
2020-08-03,295.0,298.5,291.0,296.0,217.27919006347656,7964273
2020-08-04,296.5,301.5,293.5,297.5,218.38027954101562,6297591
2020-08-05,301.0,305.0,298.5,303.5,222.7845916748047,7086200
2020-08-06,312.0,322.5,307.0,316.0,231.96022033691406,13426123
2020-08-07,315.5,317.0,292.0,294.0,215.81109619140625,18595413
2020-08-10,291.5,298.0,284.5,287.0,210.67274475097656,8441383
2020-08-11,288.0,293.0,282.0,289.5,212.50784301757812,6661275
2020-08-12,290.0,290.0,280.0,282.0,207.00247192382812,7563044
2020-08-13,284.5,288.5,282.0,284.5,208.83761596679688,3542397
2020-08-14,282.5,285.0,276.0,285.0,209.20462036132812,5774949
