Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,42.29999923706055,43.849998474121094,42.20000076293945,43.599998474121094,39.394012451171875,39321623
2020-01-03,44.20000076293945,44.25,42.29999923706055,42.5,38.400123596191406,28586557
2020-01-06,41.95000076293945,42.0,40.849998474121094,41.349998474121094,37.361061096191406,25307713
2020-01-07,41.70000076293945,41.79999923706055,41.099998474121094,41.29999923706055,37.315887451171875,17381682
2020-01-08,40.54999923706055,41.0,40.29999923706055,40.45000076293945,36.547889709472656,15980292
2020-01-09,41.0,41.54999923706055,40.95000076293945,41.04999923706055,37.09000015258789,16333142
2020-01-10,41.400001525878906,42.400001525878906,41.25,42.400001525878906,38.30977249145508,28099535
2020-01-13,43.0,43.900001525878906,42.650001525878906,43.900001525878906,39.66507339477539,33550483
2020-01-14,45.0,46.0,44.5,45.400001525878906,41.02037048339844,80918532
2020-01-15,45.20000076293945,45.599998474121094,44.400001525878906,44.75,40.433074951171875,36881631
2020-01-16,44.599998474121094,44.599998474121094,43.54999923706055,43.599998474121094,39.394012451171875,49209118
2020-01-17,43.75,44.45000076293945,43.150001525878906,43.25,39.07777786254883,28452980
2020-01-20,43.75,44.79999923706055,43.650001525878906,44.79999923706055,40.478248596191406,31951515
2020-01-30,40.400001525878906,40.849998474121094,40.349998474121094,40.349998474121094,36.4575309753418,33662777
2020-01-31,40.099998474121094,40.79999923706055,37.099998474121094,38.650001525878906,34.92152786254883,53858220
2020-02-03,36.5,37.75,35.25,36.75,33.20481491088867,44675268
2020-02-04,44.650001525878906,44.70000076293945,40.25,40.25,36.36717987060547,57378206
2020-02-05,40.849998474121094,40.849998474121094,39.099998474121094,39.150001525878906,35.373294830322266,38062741
2020-02-06,39.70000076293945,40.54999923706055,39.400001525878906,40.20000076293945,36.321998596191406,30604117
2020-02-07,39.5,39.79999923706055,38.849998474121094,38.900001525878906,35.14741134643555,20366369
2020-02-10,36.0,39.849998474121094,36.0,39.849998474121094,36.00576400756836,43809914
2020-02-11,40.29999923706055,40.75,39.70000076293945,40.29999923706055,36.412353515625,25867623
2020-02-12,40.599998474121094,42.900001525878906,40.349998474121094,42.849998474121094,38.71635818481445,61654202
2020-02-13,43.0,43.099998474121094,42.0,42.04999923706055,37.993534088134766,33634885
2020-02-14,41.849998474121094,42.54999923706055,41.5,41.5,37.49658966064453,29431551
2020-02-17,41.0,41.849998474121094,40.900001525878906,41.349998474121094,37.361061096191406,17283432
2020-02-18,41.0,41.599998474121094,40.79999923706055,41.099998474121094,37.13518142700195,13744110
2020-02-19,41.29999923706055,42.150001525878906,41.29999923706055,41.75,37.72248077392578,18911820
2020-02-20,42.150001525878906,42.849998474121094,41.900001525878906,42.0,37.9483642578125,22564169
2020-02-21,41.849998474121094,42.400001525878906,41.70000076293945,41.70000076293945,37.677303314208984,22592495
2020-02-24,40.79999923706055,42.45000076293945,40.79999923706055,42.45000076293945,38.35495376586914,21795786
2020-02-25,42.04999923706055,42.400001525878906,41.70000076293945,41.75,37.72248077392578,19099303
2020-02-26,41.29999923706055,42.5,41.04999923706055,41.25,37.270713806152344,23766415
2020-02-27,41.599998474121094,41.849998474121094,39.20000076293945,40.0,36.14129638671875,31297979
2020-03-02,38.79999923706055,40.150001525878906,38.349998474121094,39.25,35.463645935058594,27736693
2020-03-03,40.599998474121094,42.349998474121094,40.29999923706055,41.45000076293945,37.451419830322266,43747786
2020-03-04,41.5,42.150001525878906,41.0,41.400001525878906,37.4062385559082,28075976
2020-03-05,42.20000076293945,43.20000076293945,41.5,41.900001525878906,37.858009338378906,64813421
2020-03-06,41.29999923706055,42.099998474121094,41.29999923706055,41.599998474121094,37.58694839477539,14218395
2020-03-09,41.20000076293945,41.849998474121094,39.5,39.5,35.68952941894531,33469007
2020-03-10,38.75,39.75,37.650001525878906,38.95000076293945,35.19258499145508,49533282
2020-03-11,39.29999923706055,40.0,37.400001525878906,37.400001525878906,33.7921142578125,40124043
2020-03-12,36.79999923706055,36.79999923706055,33.70000076293945,33.70000076293945,30.44904327392578,67001624
2020-03-13,30.350000381469727,31.5,30.350000381469727,31.450000762939453,28.416095733642578,44992560
